,count_pos_tweets,count_neg_tweets,ratio_pos_tweets,average_lenContent,average_replyCount,average_retweetCount,average_likeCount,average_quoteCount,average_followerCount,average_friendCount,average_pos,average_neu,average_neg,average_compound,count_all,count_hasLinks,count_hasMedia,count_isRetweeted,count_isQuoted,count_hasHashtags,count_verified
2020-02-11,2.0,0.0,1.0,206.0,176.5,25.5,248.0,19.5,61625.0,7864.0,0.3195,0.6275,0.053,0.52125,2.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-02-12,1.0,3.0,0.25,268.75,18.0,135.0,214.0,17.75,2345535.75,768.0,0.07200000000000001,0.75125,0.17700000000000002,-0.24412499999999998,4.0,4.0,1.0,0.0,0.0,0.0,0.0
2020-02-13,2.0,1.0,0.6666666666666666,248.33333333333334,6.0,36.0,98.0,7.333333333333333,21460.666666666668,5816.0,0.16133333333333333,0.6986666666666667,0.13999999999999999,0.16579999999999998,3.0,1.0,1.0,0.0,1.0,3.0,0.0
2020-02-14,1.0,0.0,1.0,198.5,2.5,52.5,774.5,4.0,343656.0,256.5,0.1765,0.7805,0.043,0.4221,2.0,0.0,1.0,0.0,0.0,2.0,0.0
2020-02-16,0.0,2.0,0.0,239.5,92.0,364.5,1254.0,33.0,7420575.5,62.0,0.0,0.9085,0.0915,-0.21315,2.0,1.0,2.0,0.0,0.0,1.0,0.0
2020-02-17,6.0,1.0,0.8571428571428571,255.0,19.285714285714285,216.14285714285714,359.0,9.857142857142858,3106157.1428571427,2780.1428571428573,0.20571428571428574,0.7264285714285714,0.06799999999999999,0.3135,7.0,2.0,3.0,0.0,0.0,4.0,0.0
2020-02-18,2.0,0.0,1.0,255.66666666666666,8.333333333333334,66.0,124.0,4.666666666666667,4444252.0,198.33333333333334,0.11633333333333333,0.858,0.025333333333333333,0.2982666666666667,3.0,0.0,2.0,0.0,0.0,2.0,0.0
2020-02-19,3.0,1.0,0.75,249.25,15.75,47.75,120.5,6.75,6075888.0,530.5,0.21675,0.5935,0.19,0.180625,4.0,2.0,3.0,0.0,1.0,2.0,0.0
2020-02-20,2.0,0.0,1.0,188.66666666666666,22.666666666666668,56.666666666666664,164.0,14.0,4074201.3333333335,7328.333333333333,0.3,0.6713333333333334,0.028666666666666663,0.5645333333333333,3.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-02-21,1.0,2.0,0.3333333333333333,268.5,8.25,138.75,164.0,5.25,591810.0,1478.5,0.042499999999999996,0.8880000000000001,0.0695,-0.16525,4.0,1.0,2.0,0.0,0.0,1.0,0.0
2020-02-23,7.0,2.0,0.7777777777777778,248.2,15.5,76.3,165.0,11.2,301949.9,3672.8,0.1553,0.8095000000000001,0.0351,0.33923000000000003,10.0,2.0,4.0,0.0,1.0,8.0,0.0
2020-02-24,7.0,1.0,0.875,228.45454545454547,10.909090909090908,143.0909090909091,308.09090909090907,9.818181818181818,4669972.909090909,465.54545454545456,0.154,0.8080909090909092,0.037909090909090906,0.28517272727272724,11.0,7.0,10.0,0.0,0.0,5.0,0.0
2020-02-25,7.0,7.0,0.5,213.33333333333334,19.533333333333335,104.8,174.46666666666667,15.866666666666667,1072758.6,3246.2,0.15826666666666664,0.6828,0.15886666666666666,-0.04127333333333334,15.0,6.0,7.0,0.0,1.0,9.0,0.0
2020-02-26,5.0,2.0,0.7142857142857143,227.22222222222223,29.88888888888889,106.11111111111111,237.77777777777777,10.777777777777779,2175646.5555555555,1336.4444444444443,0.11699999999999999,0.8055555555555556,0.07744444444444445,0.022744444444444442,9.0,2.0,4.0,0.0,2.0,3.0,0.0
2020-02-27,10.0,10.0,0.5,217.52,46.96,193.84,346.2,39.56,1750069.24,9799.4,0.11232000000000002,0.7761999999999998,0.11127999999999999,0.05329599999999999,25.0,6.0,13.0,0.0,2.0,17.0,0.0
2020-02-28,6.0,6.0,0.5,209.57142857142858,29.928571428571427,157.07142857142858,350.85714285714283,23.357142857142858,2203324.1428571427,6417.5,0.12535714285714286,0.7870714285714285,0.08757142857142856,0.05625714285714283,14.0,4.0,8.0,0.0,0.0,7.0,0.0
2020-02-29,13.0,6.0,0.6842105263157895,230.54545454545453,36.5,173.36363636363637,360.1363636363636,13.0,1297049.4545454546,10033.5,0.16040909090909095,0.713181818181818,0.1262727272727273,0.12279999999999996,22.0,7.0,8.0,0.0,4.0,14.0,0.0
2020-03-01,19.0,17.0,0.5277777777777778,233.6578947368421,34.36842105263158,166.97368421052633,392.8157894736842,22.18421052631579,82636.52631578948,18422.552631578947,0.1418157894736842,0.7247894736842103,0.1334736842105263,-0.005534210526315774,38.0,8.0,15.0,0.0,11.0,24.0,0.0
2020-03-02,14.0,4.0,0.7777777777777778,225.2608695652174,11.826086956521738,96.78260869565217,182.2608695652174,9.956521739130435,806433.9130434783,7439.782608695652,0.16121739130434784,0.793695652173913,0.04495652173913044,0.259108695652174,23.0,10.0,6.0,0.0,1.0,15.0,0.0
2020-03-03,6.0,6.0,0.5,239.84615384615384,43.23076923076923,228.6153846153846,737.4615384615385,15.615384615384615,569064.6153846154,34717.61538461538,0.17876923076923076,0.7022307692307693,0.11892307692307692,0.1315846153846154,13.0,5.0,3.0,0.0,4.0,7.0,0.0
2020-03-04,17.0,9.0,0.6538461538461539,229.32142857142858,8.321428571428571,74.03571428571429,195.89285714285714,6.571428571428571,1227630.607142857,2692.1071428571427,0.16046428571428573,0.7255714285714286,0.11392857142857139,0.17630000000000004,28.0,11.0,9.0,0.0,3.0,18.0,0.0
2020-03-05,13.0,5.0,0.7222222222222222,225.95,31.7,176.15,393.3,25.1,758931.4,7809.05,0.14980000000000002,0.7484999999999997,0.10179999999999997,0.140465,20.0,9.0,7.0,0.0,1.0,13.0,0.0
2020-03-06,16.0,13.0,0.5517241379310345,213.76470588235293,21.764705882352942,63.61764705882353,165.64705882352942,6.323529411764706,114504.5294117647,2544.0,0.12182352941176472,0.7758529411764707,0.10229411764705881,0.04675294117647059,34.0,9.0,16.0,0.0,2.0,17.0,0.0
2020-03-07,17.0,10.0,0.6296296296296297,206.48387096774192,41.096774193548384,110.48387096774194,273.0967741935484,68.3225806451613,173236.7741935484,17006.516129032258,0.1417741935483871,0.7790322580645161,0.07922580645161291,0.14859032258064514,31.0,7.0,9.0,0.0,5.0,18.0,0.0
2020-03-08,13.0,7.0,0.65,200.7058823529412,21.352941176470587,124.47058823529412,301.8235294117647,13.147058823529411,589456.4117647059,4846.823529411765,0.10902941176470589,0.8195588235294118,0.07150000000000001,0.09458235294117646,34.0,9.0,18.0,0.0,3.0,22.0,0.0
2020-03-09,27.0,23.0,0.54,235.6949152542373,38.610169491525426,180.5084745762712,619.0,28.406779661016948,414298.77966101695,10543.101694915254,0.1131864406779661,0.7626440677966102,0.12411864406779662,-0.03790169491525423,59.0,10.0,19.0,0.0,7.0,44.0,0.0
2020-03-10,22.0,21.0,0.5116279069767442,222.23529411764707,12.470588235294118,74.09803921568627,194.98039215686273,8.352941176470589,408087.43137254904,18720.50980392157,0.1234313725490196,0.782705882352941,0.09378431372549022,0.06117450980392156,51.0,17.0,13.0,0.0,7.0,31.0,0.0
2020-03-11,27.0,21.0,0.5625,213.0,19.603448275862068,230.10344827586206,392.2241379310345,31.810344827586206,627202.6206896552,9751.258620689656,0.1532413793103448,0.7382413793103448,0.10855172413793103,0.09409310344827587,58.0,17.0,36.0,0.0,1.0,40.0,0.0
2020-03-12,60.0,33.0,0.6451612903225806,215.85344827586206,37.189655172413794,132.63793103448276,404.25,23.379310344827587,547312.5948275862,6592.224137931034,0.141146551724138,0.7716896551724138,0.08712931034482761,0.12103275862068964,116.0,25.0,47.0,0.0,16.0,66.0,0.0
2020-03-13,82.0,62.0,0.5694444444444444,227.4451219512195,15.621951219512194,174.78048780487805,344.0426829268293,11.182926829268293,252253.2256097561,6021.341463414634,0.14529878048780487,0.7444756097560978,0.11025,0.08888719512195123,164.0,40.0,67.0,0.0,14.0,107.0,0.0
