,id,date,url,lenContent,replyCount,retweetCount,likeCount,quoteCount,lang,hasLinks,hasMedia,isRetweeted,isQuoted,viewCount,bookmarkCount,hasHashtags,userId,displayName,userDescription,verified,createDate,followerCount,friendCount,userLocation,rawContent
0,1256372829534195712,2020-05-01,https://twitter.com/iOptimizeRealty/status/1256372829534195712,110,0,0,0,0,en,True,False,False,False,,0,True,300320695,iOptimize Realty®,"https://t.co/8VPXuTb2Ds

Tenant Representation, Economic Development, CRE Optimization. #CRE #TenantRep #Office #Warehouse",False,2011-05-17,2377,2874,"Melville, NY","Could Coronavirus Trigger Force Majeure Contract Breaks? #CRE #COVID-19 #TenantTips   
https://t.co/41V5rWNgL4"
1,1256372796499922945,2020-05-01,https://twitter.com/samayajyothi12/status/1256372796499922945,236,0,0,0,0,en,True,False,False,False,,0,True,887300142872764417,samayajyothi,"Samaya Jyothi, established in 2013, . Living upto its theme of “
Each letter is for the people”, it has carved a niche for itself in the Telangana State",False,2017-07-18,23,516,"Hyderabad, India","Central Government has categoried districts falling in states as Red, Green and Orange based on the #COVID outbreak and number of active cases. #LockdownExtended #lockdown #coronavirus #coronavirusindia #Covid19… https://t.co/ly7H0GMggl"
2,1256372778644598784,2020-05-01,https://twitter.com/CarrieHKelly/status/1256372778644598784,77,0,0,0,0,en,False,False,False,True,,0,True,1215791515,Carrie Kelly,"Bi-partisan voter; Environment, Oceans/Science; GSMD; Euro-descent; foodie; smoke/fragrance-free; birds; movies; 80s; news; NO advertisers/trolls!",False,2013-02-24,776,766,"Dana Point, CA USA","Can this being applicable to a lowered resistance to #COVID? #vaping 
@US_FDA"
3,1256372766594433027,2020-05-01,https://twitter.com/Beck_Sall/status/1256372766594433027,171,1,0,0,0,en,False,False,False,True,,0,False,57666598,Sally Beck,fed up of being measured | best-selling author | 6 books | MSM journalist investigating the alternative narrative | | https://t.co/nd0Uw9I4kb,False,2009-07-17,10271,3180,,"The UK has suffered 27,510 #COVID deaths in 68 million population. Sweden has 10 million population and 2462 deaths. In lockdown the UK has proportionally lost more people"
4,1256372733232857089,2020-05-01,https://twitter.com/qblasianbadass/status/1256372733232857089,124,0,0,0,0,en,True,False,False,False,,0,True,36906540,Q 큐 | Mindset Coach | Mentor | Podcast Host,Transracial Adoptee | Mindset Coach & Podcaster 🎙️ Igniting MINDSETS | Practical Tips | Life Lessons | Inspiring Podcasts 🔥 Tap to join me 🔥,False,2009-05-01,6457,6584,Traveling to you ✈️,"Ok I need y’all to check out my great friends #podcast great stuff here — pass it on #MuchLuv #covid
https://t.co/5slgtO0vv8"
5,1256372677746364416,2020-05-01,https://twitter.com/NVconservation/status/1256372677746364416,269,0,1,0,0,en,True,False,False,False,,0,True,172136649,NV Conservation League,The Political Voice of Nevada's Conservation Community,False,2010-07-29,2789,1140,Nevada,"The last thing we need during a respiratory pandemic is dirtier air! But the Trump administration's @EPA threatens to make this #COVID crisis worse by rolling back *FOUR* major protections against air pollution. #ClimateFriday 
More via @amprog: https://t.co/pgdbHJFwSN"
6,1256372662714208258,2020-05-01,https://twitter.com/samayajyothi12/status/1256372662714208258,235,0,0,0,0,en,True,False,False,False,,0,True,887300142872764417,samayajyothi,"Samaya Jyothi, established in 2013, . Living upto its theme of “
Each letter is for the people”, it has carved a niche for itself in the Telangana State",False,2017-07-18,23,516,"Hyderabad, India","Central Government has categoried districts falling in states as Red, Green and Orange based on the #COVID outbreak and number of active cases. #lockdownextendedto14april #coronavirus #coronavirusindia #Covid19… https://t.co/k5ZPXPjSyZ"
7,1256372657865588741,2020-05-01,https://twitter.com/Virginia_McI/status/1256372657865588741,251,1,1,8,1,en,False,True,False,True,,0,True,775653970832482304,Virginia McIntyre 🇨🇦🇺🇦,President @Peoplepain |Chair @CanadianPain PWLE com | Passionate #Osteoporosis #ChronicPain #PatientInclusion | Public Speaker Tweets/views my own| #StandBy🇺🇦,False,2016-09-13,1594,636,"Nova Scotia, Canada","Watching Maria and Linda share challenges for people with #chronicpain during #COVID. Maria shares this is an opportunity to remedy some cracks in the system, plus shares the positive like #virtual care. @PainBC @CAPA_Arthritis https://t.co/gYr7zn3FNh"
8,1256372647597936640,2020-05-01,https://twitter.com/iNtombiKaBaba_/status/1256372647597936640,159,0,0,0,0,en,False,False,False,False,,0,True,845004679,14th November,CRIMINAL JUSTICE STUDENT 👩🏻‍🎓FOUNDER/ CEO 👩🏻‍💼SOCIAL WORKER ❤️ LEADER 😎 ROYALTY 👸 😎  😌 SELF-MADE 🤞🏻LAND OWNER ❤️,False,2012-09-25,1934,5032,South Africa,"@COVID_19_ZA @HealthZA @DBE_SA 
Where does one apply for the Social Worker 12 Months Internship? #Covid19inSA #Covid_19SA #COVID__19 #COVID19SouthAfrica #covid"
9,1256372640593268736,2020-05-01,https://twitter.com/meganale/status/1256372640593268736,124,0,0,0,0,en,True,False,False,False,,0,True,289312056,megan aleece ulczak,I live. I attempt to create beauty. yep.,False,2011-04-28,136,491,"oak park, IL",This yard's gonna be GREEN this year. #garden #greenthumb #ivegotthetime #covid #goals #alltheplants https://t.co/OfzNLRj8AO
10,1256372635702685697,2020-05-01,https://twitter.com/DeanALES_UofA/status/1256372635702685697,283,0,3,4,0,en,False,False,False,True,,0,True,18620370,"Dean Stanford F. Blade, PhD🇺🇦🇨🇦",Dean @UofAAles @UAlberta Boards: @edmontonglobal @RDARAlberta 🇺🇦Intl Fellow @KSLA_Academy 🌍 100+ countries 🥈QEII Platinum Jubilee Medal 🌱PhD @McGillU,False,2009-01-05,4233,5002,ᐊᒥᐢᑿᒌᐚᐢᑲᐦᐃᑲᐣ Edmonton CANADA,"Another #COVID week in @uofaales. We are getting prepared for a new season of field research while we carefully follow all directives of the Government of Alberta &amp; the Chief Medical Officer of Health. As you can see, on #MayDay 2016 our #wheat plots were looking good. #ualberta"
11,1256372586856013826,2020-05-01,https://twitter.com/drpatfarrell/status/1256372586856013826,278,0,0,0,0,en,True,True,False,False,,0,True,42660725,"Patricia Farrell, Ph.D.","Author,  interested in film, writing.  https://t.co/74pZGEZEB0",False,2009-05-26,9225,9748,United States,The price healthcare professionals may pay. FREE to read: The Despair of Physicians/Nurses in the Face of COVID-19: A virus that is defeating even the most dedicated medical professionals #suicide #COVID-19 #healthcare #physicians https://t.co/3RSMXocXuX https://t.co/c27whOKZk8
12,1256372559630794752,2020-05-01,https://twitter.com/_astoldbyangel/status/1256372559630794752,146,0,0,1,1,en,False,False,False,False,,0,False,2870701768,angel 🇵🇷,peanut butter chocolate cake,False,2014-11-10,151,294,,Grandmas out of the hospital but they sent her home with a portable ventilator. Aunt is still recuperating but honestly not in good spirits #COVID
13,1256372545181360134,2020-05-01,https://twitter.com/WillBrink/status/1256372545181360134,163,2,4,13,0,en,True,False,False,False,,0,True,35487730,Will Brink,"Writer, researcher, consultant.",False,2009-04-26,3633,1321,"West Palm Beach, FL","Important Paper:

Vitamin D in the prevention of Coronavirus Disease 2019 infection and mortality

https://t.co/Z3Pea3uMKp

#VitaminD #coronavirus #Covid_19 #COVID"
14,1256372481843179520,2020-05-01,https://twitter.com/RebeccaAguilar/status/1256372481843179520,281,0,1,5,0,en,False,False,False,False,,0,True,28729354,Rebecca Aguilar,"7x Emmy winner, Freelance Reporter, #Media & #Diversity Watchdog, 28 yrs in TV news, 1st Latina Prez @SPJ_Tweets, @NAHJ Hall of Fame,  Founder @LatinaJournos",False,2009-04-04,12749,11451,"North Texas, USA","FYI, according to #Dallas health department employees in restaurants and retail stores have to wear masks. I went to three stores today, two in Mesquite &amp; one in Dallas and the employees did not have masks on. Shoppers did but not some of the employees. Let’s not spread #COVID"
15,1256372481478152193,2020-05-01,https://twitter.com/DrFeliceGersh/status/1256372481478152193,246,0,2,2,0,en,True,False,False,False,,0,True,3343098585,Felice Gersh MD,Board-certified Integrative GYN treating women with #PCOS #endometriosis #menopause #infertility. Cutting-edge science blended with a holistic approach.,False,2015-06-23,6941,2821,"Irvine, CA","What does junk food have to do with #COVID-19 deaths? 
Does anyone really think no relationship between food &amp; health?Obvious to integrative physicians! #Food is medicine-Hippocrates knew that long ago.
Don’t eat junk!
https://t.co/CUZMsBg9FM"
