,id,date,url,lenContent,replyCount,retweetCount,likeCount,quoteCount,lang,hasLinks,hasMedia,isRetweeted,isQuoted,viewCount,bookmarkCount,hasHashtags,userId,displayName,userDescription,verified,createDate,followerCount,friendCount,userLocation,rawContent
0,1410745727844708364,2021-07-01,https://twitter.com/NellShel/status/1410745727844708364,309,59,406,1581,22,en,False,True,False,False,,2,True,2363838030,NellShel - Vote LNP Out!,"Oesophageal cancer survivor, given 3 months to live in 2011. Cleverly disguised as a responsible adult. Business owner with a social conscience.❤️Dogs #TNL #MFW",False,2014-02-27,610,924,Australia,This amazing woman has kept QLDers safe &amp; completely informed since this pandemic began. She has worked tirelessly to protect us &amp; does not deserve attacks by hostile right wing media. Thank you Dr Young!🙌 #covid19qld #DrJeanetteYoung #MorrisonSuperOutbreak #auspol #Covid #QLD https://t.co/loH5QYX4ug
1,1410736588426911761,2021-07-01,https://twitter.com/AlisonGeorge10/status/1410736588426911761,266,233,114,249,65,en,False,False,False,True,,8,False,792254042,Dr Ali G #IStandWithUkraine 🇺🇦🌻 #NHS💙,NHS Dr #CovidisAirborne #UnsafeSchools #EuropeanAlways🇪🇺 #RefugeesWelcome #CharacterMatters #FBPE #BeKind💞#99% #GTTO,False,2012-08-30,11766,7083,Newcastle Upon Tyne,"1/10🧵Nothing has changed @UsforThemUK !

Are you starting to get a glimpse of what your “Children First” campaign. has done?

#COVID is running absolute riot through our schools, which will lead to PREDICTABLE &amp; AVOIDABLE mortality &amp; morbidity across the UK."
2,1410718486075162625,2021-07-01,https://twitter.com/DrTeckKhong/status/1410718486075162625,222,6,42,79,1,en,False,True,False,False,,5,False,330717019,Dr Teck Khong,"Leading Alliance for Democracy & Freedom to serve the people, save our country, assure our freedom, prosper the nation. Join likeminded folk! https://t.co/jKqlrDWvYI",False,2011-07-07,55935,11670,East Midlands,"A respected Professor of Rheumatology from another county shares my suspicion of a #Covid vaccine related event in a referred patient. 

There’s no doubt that such adverse events are under-reported. https://t.co/Fxnt8BBLex"
3,1410717331022622724,2021-07-01,https://twitter.com/KnowYourEnemy44/status/1410717331022622724,204,3,85,128,4,en,True,False,False,False,,20,True,1241748429291880449,MyTimeNow○,We have a group who controls the USA & World. We need to Free ourselves from them! Govt is #Corporatocracy○ #Corporations+#StockMarket =Corruption #PonziScheme,False,2020-03-22,2910,4427,United States of America,"EXCLUSIVE!
They were taken down/ censored by You Tube so now watch it on Rumble
👇
 @Johnheretohelp | EXPOSED! DeepState - #Covid, Jan 6, #Pelosi ; #Vaccines; #Fauci Stolen Election https://t.co/YYbElbbztj"
4,1410709436474302470,2021-07-01,https://twitter.com/BernieSpofforth/status/1410709436474302470,126,31,67,220,7,en,False,False,False,True,,1,True,755135678422327296,Bernie's Tweets,"Experience in lots of things, including, Board and CEO, FMCG, IP, patents, global manufacturing. Writes the odd article.  My code is Z28.31",False,2016-07-18,218887,2495,"North West, England","Wtf is this? Wimbledon are ‘tagging’ those who can prove their status?

You have to be kidding me!

#NoVaccinePassports #Covid"
5,1410697213819379712,2021-07-01,https://twitter.com/richardlusimbo/status/1410697213819379712,290,3,14,136,2,en,False,True,False,False,,0,True,385311382,Richard Lusimbo 🏳️‍🌈,@UKPC_UG Founder and Director General | @GBGMC_Int Co-Founder and Board Member  | #HumanRight (He/Him) 🇺🇬,False,2011-10-05,5310,657,Uganda,"To win the battle against #COVID-19 we need efforts drawn from different walks of life; political, socially and economically. Thanks @kizzabesigye1 for sharing your views with the nation on the #NTVonTheSpot together we can beat this. “Survival is for the organised” https://t.co/N6vxgVX5s5"
6,1410693132866535427,2021-07-01,https://twitter.com/AlisonEvison/status/1410693132866535427,281,4,0,70,0,en,False,True,False,False,,0,True,74500740,Alison Evison 🧡,"Chair @NHSGrampian, Independent Cllr Mearns, @Aberdeenshire, @COSLA President 2017-22, Hon.Lecturer @AberdeenUni, Consultative Member @AberdeenTUC",False,2009-09-15,4740,4710,Mearns Aberdeenshire,"Daughter Madi’s wedding 👰🏻 this week - rescheduled from April due to #Covid #Lockdown  - she didn’t know she’d selected #ChristiePlus10 for the new date of course, but it means I’ll remember 29/6 for lots of reasons from now on 
Photo credit - Calum Riddell https://t.co/1M4Z7ci9EG"
7,1410678730326831104,2021-07-01,https://twitter.com/TeamSarwar/status/1410678730326831104,283,5,21,124,0,en,True,False,False,False,,0,True,2573296339,Team Sarwar,"Verified Official supporting acc of Ch M Sarwar, Chief Organizer PML & Pres Punjab; Former Governor Punjab (2 times), UK MP, Member Senate. Honorary Doctorate.",False,2014-06-17,171641,2856,Pakistan,"With drop in #Covid cases from 35k in May to 5.4K in June in #Punjab, we urge citizens to continue to wear masks, follow SOPs &amp; get #vaccinated to avoid 4th wave of #Covid19 &amp; #LahoreWearsMasks campaign will help create awareness to this end. #corona  https://t.co/okLo2g4boL"
8,1410663159229259776,2021-07-01,https://twitter.com/EU_Citizen2/status/1410663159229259776,148,383,246,729,42,en,False,False,False,False,,9,True,555329628,Sonia Critcher ProEU 💙🇪🇺 🐝 😷🌻,"Pro EU 🇪🇺 Don't blame me I voted remain. ProPR . Blocks bots. No DMs , please. 😷💉

#IAmEuropean #FBPE #WASPI",False,2012-04-16,13299,12812,"Brexshitland, Rip off Britain,",If you live in the EU do you have any shortages in the supermarkets? Trying to work it whether #Brexit or #COVID are causing problems in UK. Thanks.
9,1410660795889831938,2021-07-01,https://twitter.com/nandtara/status/1410660795889831938,307,3,76,114,0,en,False,True,False,False,,0,False,74810575,Be the Change👊🏻,"Just another traveller who loves good cinema, John Fowles & Dylan. Abhor social/religious discrimination. No party can control my views/tweets. SECULAR forever",False,2009-09-16,15430,1870,,"Cute &amp; cheesy, but fact remains only @INCIndia can set us back on track. Capt vs Sindhu quibbling makes woefully bad press with every pontificating journo offering their 2 bits. @priyankagandhi needs move to UP. We simply cannot lose the advantage of Bisht’s #Covid mismanagement https://t.co/SBIfTKmGam"
